ID,title,description,duration,level,platform,images,urls,reviews_count,ratings,paid,students_count,type,skills,prerequisites,domain,organization,course_certification_type,summary,instructor,lecture_count
1,(ISC)² Systems Security Certified Practitioner (SSCP),"Pursue better IT security job opportunities and prove knowledge with confidence. The SSCP Professional Training Certificate shows employers you have the IT security foundation to defend against cyber attacks – and puts you on a clear path to earning SSCP certification.
Learn on your own schedule with 120-day access to content aligned with the latest (ISC)2 SSCP exam domains. We’re offering the complete online self-paced program for only $1,000 – a $200 savings when you get all domains bundled together.
3 Steps to Career Advancement 
1.  Register for the course 
2.  Gain access for 120 days 
3. Register and sit for the SSCP certification exam
Upon completing the SSCP Professional Certificate, you will:
1.  Complete six courses of preparing you to sit for the Systems Security Certified Practitioner (SSCP) certification exam Opens in a new tabas outlined below.
Course 1 - Access Controls
Course 2 - Security Operations and Administration
Course 3 - Risk Identification, Monitoring, and Analysis/Incident Response and Recovery
Course 4 - Cryptography
Course 5 - Network and Communication Security
Course 6 - Systems and Application Security
2. Receive a certificate of program completion.
3. Understand how to implement, monitor and administer an organization’s IT infrastructure in accordance with security policies and procedures that ensure data confidentiality, integrity and availability.
Applied Learning Project
Each course includes a case study that will require students to put into practice the knowledge they have gained throughout each course. Successful completion of course projects will require the basic understanding of the topics covered and the ability to relate those topics to the real world. The objective of each project is to determine whether students have understood course concepts and are able to use them in a real world setting. 
",3 - 6 Months,Beginner,Coursera,https://upload.wikimedia.org/wikipedia/commons/1/1c/ISC2-Logo-350x350.png,https://www.coursera.org/specializations/sscp-training,484,4.7,Yes,"6,706",Not Available,"['Security Software', 'Risk Management', 'Access Control', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Risk Management', 'Asset', 'Risk Management']",Not Available,Not Available,ISC2,Specialization,[],Not Available,Not Available
2,.NET FullStack Developer,"Develop the proficiency required to design and develop comprehensive, scalable, and high-performing applications with the .NET framework via this in-depth specialization. The curriculum is segmented into three intensive courses: 
.NET Full Stack Foundation: 
Understand the basics of .NET and its significant components.
Harnessing the C# programming language, mastering everything from basic syntax to complex structures.
Constructing both web and desktop applications with an unparalleled understanding of .NET's capacities.
Frontend Development using React: 
Designing web pages employing the core principles of HTML and CSS.
Utilizing JavaScript for dynamic and interactive functionalities, covering everything from basic variables to complex functions.
Constructing dynamic and interactive UIs using React's core concepts such as components, state, props, and JSX.
Backend Development using ASP.NET:
Master the ASP.NET Core framework, designed for modern web applications.
Explore ASP.NET MVC and craft web applications following MVC patterns.
Delve into ASP.NET Web API to design and implement RESTful web services.
By the end, you will be proficient in leveraging .NET technologies, designing web applications using ASP.NET with React integrated on the front end, and building RESTful web APIs using ASP.NET Core. Equip yourself to construct scalable, high-performance web applications that align with modern business demands.
Applied Learning Project
Our program is highly focused on practical, hands-on learning. We understand that developers learn best by doing, so our courses and modules are designed to help learners apply what they learn in real-world scenarios. Our instructors are experienced developers who have worked on numerous Frontend projects and are well-equipped to guide learners through the practical aspects of Frontend Development & Backend with .Net Technologies.
",1 - 3 Months,Intermediate,Coursera,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAOEAAADhCAMAAAAJbSJIAAAAwFBMVEX///8AAAAAZsvW1tbv7+/19fUAYcrT09MSEhJWVlZkZGQAX8nPz88GBgZKSkqtra3Hx8e1tbV3d3cAWshtbW0/Pz8AWMiLi4sAYMnc3NyQkJCnp6cAXMmenp7i4uIAVcd/f382Njby9/wjIyNfX1+FhYXT4fTi7Pi8vLxtm9ybuebI2fEsLCwzetEZGRlQUFAAas2CqOC5ze1Zjtd3od670O2owulQidaYteQec9BBgdN+pd8AT8ZHhNTe6ffN3vPunFY5AAAJUElEQVR4nO2c2VrqOhhAW8QgVBEZqmAVGWQSFEQQdG99/7c6bea0SaGBsz8u/nUl5SfNapqhSarjAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACwN3lXptcoVVujx5T4wWQ599u17Xg9MER0V4vPbS63XS7eu7rvi51X+ZSN+u1NMx5z0+M5KlZbN81zGzWKaki5eNJLdidb30O5CBT424kmZLAMAhKCvFrw9Z6M0J3QrauSD/HvGw/5oxqG3GpiF7UgJxOgdSxi+OkjOQIlQ5wL/QnrqYYh/bRby8LQ7ccjX3KqX4S/VELWAUqE1GbDvQzdnlRKOkPXbR3XMF6KC1+UDOIi3lzK/5iHoLs7HoOCl70M3SsRc6+PaBxm+NqZ9pQ2QLkrxjWqVEPbz+XXPKDFhTyu+EXLOAi248ViPPNYifpKbTQauqVdhu7UoskRhs/kc5EfkG+KD5J75I9/SQPZXS1JlUOIKn55xG+7pk1o9/2LFmr7dy9D92yXoU0pCsMneoQfeBNR7ySr/lhu/4dLfBTN8cGlR3yVluVlTrSR9DtueHv/EHIr3Te8teGGrz1X5fkIhiWeOg/qIs3dxsXRV/jnBN/F3jbeBS7xcfSpMWQdRF/kP25YdZzzx4crWTFzi5o0rLMDPR70jUvC/038eoC/+DNxhsR1ljzBAt/f/sps6IhSZM3ptTCMaEmGSq9iZzhlB4ospovLoZbo2UJe/JyXC3P/F5fyXDeIGXuqe9JQCLACuo7l6UZSzNrYCMPE9eItzQbncan9/eLPgohG12CoDdniQuRdBjfk95toV5g0M+S17lYY3lgb9is3N9f3byKpgpJFQ/a7eHg6i4ow0BVyyCq6BdDYbPhsLEPRrohsVa0N40xZyI9vLkLCr88aHC34CiGzoeg/4oZi1PHEY7J2GGbDCguZRDdpbGCiMo6K0Dc9bJAE/B+TodSOsF+weicMR8mgQw0f1PwHKWl0g9QidAa+fA9zQ9pwSmNQ3gMzQzHoODu64UiEzNPzHw24o3q6Mn6Pr4C3iRs+tyI60kmvzYaPxzasSm1yVIToIyUN3M7kUgKia+SxFFJGbfwH/8BQdEXE0Ps2J/HTDgPuUgLIXcAaU7PhfcJQVJVjGDbqxXJnKsYXfByf21GGm10tUdfby1BqJJOGzSMYsnaL978X9EDU2KO/5iTmuLtMOQce0u00fJUqRtLw8giGvHfljRutBUt8mxpTIB16yhVw3oM9DJVHv6Sh6C16TjY0huf8qpLPO/pDMp7RzUox8CW6S29p1AF10lB0mkUnGxrDeJ88SB3TrPCQNNBOHBK6OOJukWrY2WEoRpNZnxB1hvwQ7RRxRTMNWfCXQZT9H8NFWOBHrGR/2K+MrsUD7r38E3ZPckOpyR852Ui2NHxQyHtgksWt9vfLO/zYFEW1fe2tOiQTIEnDWzXncj1MGJZEXNaJU3EK1rtKz2LUkDzeemPNz8mjffhsPNh68iOSBBkP6MY00Sf+vK08M8QNpXmbckZBybDcaj3cXz/L023shvjAhRgk+8R1m92jMy/2KM/4JDM1hjKUe3Jp2psZ0qv+rMmThaEGNvqn8zTBZ6w9WYh5mi65F/2FGjGcUUGToTRLI/X4Iynk8UG+6K9OVtIMRfv20s4lZ9JeZnSCFHuTx/ycl1uLy/DzLSb5k20pKSBpsCKKp0KPXHTic22ZizDV8FqErenMZzBfDCKD7u9mW6MlSx/8yB0bfvaWk5fB4Pf9e1tjBajt8ektKPqBC366ijY/rjxpfAzDqRzH8p/zaj6aI59lHtX4DBy7CjnkBbVa4N3xjzm5Q+WGtBkpiDPyRwmTodprHmyozkyukFQgHG/+I0JeNAszYZn+xYMi3KPoDJ2yOCXrCQyGNoIphmexyO6yHRdAbWUS3Bl+1eJ+qP0RmuNGaBgzZH28NKhmN6HeMOscVLphX9OxDpY1T5L0/M/EOGeNlCU4VJv98v50YzB0xFKJe2k2LBfiJzvEsBovQMpwMmuHNSwkaM8XP5qI7nrWDqsgQmFl9GtjUklnXvSZzgLwk3BDqTmdmgyfDDnazXmpLtMvRcvmqb/4XW82m8nKPNTurjYf4+V4I1b6V2MMGfGU+oSiaPhv+6USzke1RAqxWa1W6+GxKG7XzgIAAAAAAAAAAAAA2IvzwlkEeerNhx8KsW1V+YL6fZzoeEH8SRKMzYHQk8h/Rw+1zWRq8ZQl9Ed3Q+eByDQWWR9QJ0TIQk1D+lvFESuOOIbMQKh7swrS9/SE0TJgQzuF4rpsjVa+Tvmr2NzH3tCTl2UDpQRueIbUHXTphupUHdkNcyUbRtNqb8nUMOdlcRUYdPXJYkJRZ6gkY2morJZlNWTrNWLGiB2xmJDSGSprzraG8v6zjIZ5pyqCCPVkxg4ylO92W0P3aaehqR7meYpski3PvzmWodTaaAzjr5voDaXWxmDYLGDOaMtSOiOfoxnFe7UQ6dbEB8cCg6GoRvaGYuXDYMigP1Fm7adyEvQEF44NJkNejQ4wvGCXycKQhpGKRxeBK44NJkP36XBDvp3SwpAtDudF+m+OFUZDtkB6iCGLtDHMi4N0u5Dl3L7GkL3f0DzAkKUxsjZkXnm2mJP9ZRKj4TPtp67O7Q1LbGP2o7Whw462pNSPY1hlK2Blg2H9skK5NBmWnQ451rM3pDsy6Ig061sIaYZ1vqv6WW8o6JkMG7yT7lsb0vXvBk3wqIZ8E9Joh2HHbMhXr1vWhtJ2IpsBaaoh3431aG/IN6pWbA2ltyxsBqTphk6HHH+ltcHGkO93yj9aGvKtrpnfdtrDkFejyzTD11RDh+5omuYtDXltsRqQ7jDk1aifNNyjtyCG7DK92Ro6csrHNlRfqLYzlF/mOUFDeduqraHycuTpGYqXLe0N5e1AJ2gobSeyNpR2rp+gofScYG8ouu1TNBTVyN5QdDEnacir0QGGfJv2aRqyV8kPMWQ7SE/U8PEIhs5JG9JOm8yR7G+ozr6fSd9TQ/m/w/y/hs1yMeSNpD6KPrzF/g9MpRQeeyJ/kuD46sg5Plwk5VzAH2LPAs06/56eUJ6TuCSHdP9/hiSc+TUSAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAf8F/2U65FPBN/LsAAAAASUVORK5CYII=",https://www.coursera.org/specializations/dot-net-fullstack,49,4.3,Yes,"2,140",Not Available,"['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C# programming', 'API Integration', 'Model–View–Controller (MVC)', 'asp.net', 'C Sharp (C#) (Programming Language)', '.NET Core', '.NET Architecture', 'ASP.NET Fundamentals', 'Computer Programming', 'HTML', 'JavaScript', 'Cascading Style Sheets (CSS)', 'React (Web Framework)', 'Web API', 'Front And Back Ends', 'Web Application', 'MVC', 'asp.net']",Not Available,Not Available,Board Infinity,Specialization,"['Master .NET full stack web dev: from .NET core basics to advanced web application creation using .NET technologies.  ', ""Dive into React frontend development: from foundational HTML & CSS to dynamic UI design using JavaScript and React's core concepts. "", 'Explore backend with ASP.NET: Understand ASP.NET Core architecture, MVC patterns, and build RESTful web APIs with integrated front-end applications. ', 'Acquire robust full-stack skills: Ensuring proficiency in creating scalable, high-quality web applications tailored to modern business needs. ']",Not Available,Not Available
3,21st Century Energy Transition: how do we make it work?,"Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments. 
In this course from the University of Alberta and Canadian Society for Evolving Energy, you will join us to learn about the many energy sources available, and where technology is providing exciting new solutions to energy and environmental challenges. Find out what roles energy storage must play to support the transition, and discuss how we can optimize transition processes. Examine competing viewpoints (“realities”) to enable energy transition, focusing on the practical challenges in bringing about change on a global basis. Finally, you will bring all these issues together to examine how the energy transition process is progressing and what we must do to create pathways to achieve our goals.
",1 - 3 Months,Beginner,Coursera,https://www.ualberta.ca/media-library/ualberta/homepage/university-of-alberta-logo.jpg,https://www.coursera.org/learn/21st-century-energy-transition,59,4.8,Yes,"4,282",Not Available,[],Not Available,Not Available,University of Alberta,Course,"['Understand the complexity of systems supplying energy to people around the  world ', 'Evaluate the merits and the costs associated with each major available energy\xa0 source\xa0   ', 'Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources ']",Not Available,Not Available
4,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,"We have all heard the phrase “correlation does not equal causation.”  What, then, does equal causation?  This course aims to answer that question and more!  
Over a period of 5 weeks, you will learn how causal effects are defined, what assumptions about your data and models are necessary, and how to implement and interpret some popular statistical methods.  Learners will have the opportunity to apply these methods to example data in R (free statistical software environment).

At the end of the course, learners should be able to:
1.  Define causal effects using potential outcomes
2.  Describe the difference between association and causation
3.  Express assumptions with causal graphs
4.  Implement several types of causal inference methods (e.g. matching, instrumental variables, inverse probability of treatment weighting)
5.  Identify which causal assumptions are necessary for each type of statistical method

So join us.... and discover for yourself why modern statistical methods for estimating causal effects are indispensable in so many fields of study!
",1 - 3 Months,Intermediate,Coursera,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,https://www.coursera.org/learn/crash-course-in-causality,515,4.7,Yes,"38,833",Not Available,[],Not Available,Not Available,University of Pennsylvania,Course,[],Not Available,Not Available
5,AI & Law,"About this Course
This four-week course titled AI and Law explores the way in which the increasing use of artificially intelligent technologies (AI) affects the practice and administration of law defined in a broad sense. Subject matters discussed include the connection between AI and Law in the context of legal responsibility, law-making, law-enforcing, criminal law, the medical sector and intellectual property law.
The course aims to equip members of the general public with an elementary ability to understand the meaningful potential of AI for their own lives. The course also aims to enable members of the general public to understand the consequences of using AI and to allow them to interact with AIs in a responsible, helpful, conscientious way. Please note that the law and content presented in this course is current as of the launch date of this course. 

At the end of this course, you will have a basic understanding of how to:
•	Understand the legal significance of the artificially intelligent software and hardware.
•	Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector in connection with the enforcement of criminal law, the modelling of law and in the context of administrative law.
•	Understand the legal relevance of the use of artificially intelligent software in the private sector in connection with innovation and associated intellectual property rights, in the financial services sector and when predicting outcomes of legal proceedings.
•	Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.

Syllabus and Format

The course consists of four modules where one module represents about one week of part-time studies. A module includes a number of lectures and readings, and finishes with an assessment – a quiz and/or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Modules
Module 1.	AI and Law 
Module 2.	Legal AI in the Public Sector 
Module 3.	Legal AI in the Private Sector
Module 4.	Selected Challenges 

Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.

The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching.
",1 - 4 Weeks,Beginner,Coursera,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.che-project.eu%2Fnode%2F34&psig=AOvVaw0htj7rKftBlz5v9G-az-bN&ust=1698304498180000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCLDJstnTkIIDFQAAAAAdAAAAABAD,https://www.coursera.org/learn/ai-law,361,4.7,Yes,"25,442",Not Available,[],Not Available,Not Available,Lund University,Course,"['Understand the legal significance of the artificially intelligent software and hardware.', 'Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector.', 'Understand the legal relevance of the use of artificially intelligent software in the private sector.', 'Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.']",Not Available,Not Available
6,AI Applications in Marketing and Finance,"In this course, you will learn about AI-powered applications that can enhance the customer journey and extend the customer lifecycle. You will learn how this AI-powered data can enable you to analyze consumer habits and maximize their potential to target your marketing to the right people. You will also learn about fraud, credit risks, and how AI applications can also help you combat the ever-challenging landscape of protecting consumer data. You will also learn methods to utilize supervised and unsupervised machine learning to enhance your fraud detection methods. You will also hear from leading industry experts in the world of data analytics, marketing, and fraud prevention. By the end of this course, you will have a substantial understanding of the role AI and Machine Learning play when it comes to consumer habits, and how we are able to interact and analyze information to increase deep learning potential for your business.
",1 - 4 Weeks,Mixed,Coursera,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,130,4.7,Yes,"7,307",Not Available,[],Not Available,Not Available,University of Pennsylvania,Course,[],Not Available,Not Available
7,AI Applications in People Management,"In this course, you will learn about Artificial Intelligence and Machine Learning as it applies to HR Management. You will explore concepts related to the role of data in machine learning, AI application, limitations of using data in HR decisions, and how bias can be mitigated using blockchain technology. Machine learning powers are becoming faster and more streamlined,  and you will gain firsthand knowledge of how to use current and emerging technology to manage the entire employee lifecycle. Through study and analysis, you will learn how to sift through tremendous volumes of data to identify patterns and make predictions that will be in the best interest of your business. By the end of this course, you'll be able to identify how you can incorporate AI to streamline all HR functions and how to work with data to take advantage of the power of machine learning.
",1 - 4 Weeks,Mixed,Coursera,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,https://www.coursera.org/learn/wharton-ai-applications-people-management,67,4.7,Yes,"5,066",Not Available,[],Not Available,Not Available,University of Pennsylvania,Course,[],Not Available,Not Available
8,AI For Business,"This specialization will provide learners with the fundamentals of using Big Data, Artificial Intelligence, and Machine Learning and the various areas in which you can deploy them to support your business. You'll cover ethics and risks of AI, designing governance frameworks to fairly apply AI, and also cover people management in the fair design of HR functions within Machine Learning. You'll also learn effective marketing strategies using data analytics, and how personalization can enhance and prolong the customer journey and lifecycle. Finally, you will hear from industry leaders who will provide you with insights into how AI and Big Data are revolutionizing the way we do business.
By the end of this specialization, you will be able to implement ethical AI strategies for people management and have a better understanding of the relationship between data analytics, artificial intelligence, and machine learning. You will leave this specialization with insight into how these tools can shape and influence how you manage your business. 
For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource,"". You can find Professor Hosanagar's book on his personal websiteOpens in a new tab or at Penguin RandomhouseOpens in a new tab.

Applied Learning Project
Each course module in this Specialization culminates in an assessment, with two courses including peer-review exercises. These assessments are designed to check learners' knowledge and to provide an opportunity for learners to apply course concepts such as data analytics, machine learning tools, and people management best practices with AI algorithms.
The assessments will be cumulative and cover the application of artificial intelligence, ethical governance rules, Big Data management, the customer journey, fraud prevention, and personalization technology in order to develop and implement a successful AI strategy for your business.
",3 - 6 Months,Beginner,Coursera,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,https://www.coursera.org/specializations/ai-for-business-wharton,364,4.7,Yes,"13,092",Not Available,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Data Analysis', 'Algorithms', 'Leadership and Management', 'Business Analysis', 'Decision Making', 'Human Resources', 'People Analysis', 'Artificial Neural Networks', 'Deep Learning']",Not Available,Not Available,University of Pennsylvania,Specialization,[],Not Available,Not Available
9,AI For Everyone,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. 
In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.
",1 - 4 Weeks,Beginner,Coursera,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125559383%2F317212851579%2F1%2Foriginal.20210208-232017?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2246%2C2246&s=40aa0fb13fe40ce86241ae7b8fc8caea,https://www.coursera.org/learn/ai-for-everyone,39.2k,4.8,Yes,"1,080,159",Not Available,[],Not Available,Not Available,DeepLearning.AI,Course,[],Not Available,Not Available
10,AI For Everyone （すべての人のためのAIリテラシー講座）,"AIはエンジニアだけのものではなく、今や社会⼈の基本リテラシーと⾔えます。本
コースは、AIの基礎を学びたい⽅、今の組織をAIを使いこなせる組織へと変⾰させ
たい⽅、そんなすべての⽅々に、理系⽂系問わず、肩書きや職種問わず、受講いた
だけるコースです。

本コースでは、次のことを学習していただきます：
- ニューラルネットワーク、機械学習、ディープラーニング、データサイエンス
など、⼀般的なAIに関する専⾨⽤語とその意味
- 実際にAIができること、できないこと
- 組織の課題解決のためにAIを適⽤できる可能性とその⽅法
- 機械学習およびデータサイエンスプロジェクトの進め⽅
- AIエンジニアチームと連携して社内でAI戦略を構築する⽅法
- AIを取り巻く倫理的および社会的議論の概要

本コースはDeepLearning.AIが提供している通常の「AI for Everyone」（オリジナルは英語）に、JDLAが制作し、松尾先生が講師を務める”DXとは何か”、”DXにおけるAIの重要性”、“日本におけるAI活用”を追加 した 特別版 となります。

本コースの修了証を提示すると、JDLAのG検定が30％引きになります。詳細はこちらをご覧ください。
https://www.jdla.org/certificate/general/apply-everyone-discount/
",1 - 3 Months,Beginner,Coursera,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125559383%2F317212851579%2F1%2Foriginal.20210208-232017?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2246%2C2246&s=40aa0fb13fe40ce86241ae7b8fc8caea,https://www.coursera.org/learn/ai-for-everyone-ja,244,4.8,Yes,"27,542",Not Available,[],Not Available,Not Available,DeepLearning.AI,Course,[],Not Available,Not Available
